Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Paxton        R  15   6   1   0   0   2   0   2   0   0   0  .400  .471  .467 
Gaylord Perry      R  54  19   2   1   1   5   0   8   0   1   0  .352  .407  .481 
Jim Perry          R  21   5   2   0   0   3   0   1   0   0   0  .238  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Stan Perzanowski   R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Fritz Peterson     L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dan Petry          R  34   6   1   1   0   2   0   5   0   0   0  .176  .222  .265 
Dick Pole          R   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Chuck Porter       R   6   3   1   0   0   1   0   1   0   0   0  .500  .571  .667 
Mike Proly         R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Dan Quisenberry    R  21   9   0   1   0   0   0   2   0   0   0  .429  .429  .524 
Eric Raich         R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Chuck Rainey       R   3   1   1   0   0   1   0   0   0   0   0  .333  .500  .667 
Shane Rawley       L   3   0   0   0   0   1   0   1   0   1   0  .000  .250  .000 
Pete Redfern       R  11   1   0   0   0   5   0   2   0   0   0  .091  .375  .091 
Steve Renko        R  24   6   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Andy Replogle      R   4   2   2   0   0   0   0   0   0   0   0  .500  .500 1.000 
Rick Reuschel      R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Bob Reynolds       R  14   3   1   0   0   1   0   3   0   1   1  .214  .250  .286 
Dave Righetti      L   4   0   0   0   0   4   0   0   0   0   0  .000  .500  .000 
Bruce Robbins      L   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Roberts       L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
E. Rodriguez       R  16   4   0   0   0   3   0   1   0   2   0  .250  .368  .250 
Enrique Romo       R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gary Ross          R   3   0   0   0   0   0   0   0   0   0   1  .000  .000  .000 
Dave Rozema        R  18   4   0   0   0   1   0   2   0   0   0  .222  .263  .222 
Vern Ruhle         R  14   4   0   0   0   2   0   1   0   0   0  .286  .375  .286 
Nolan Ryan         R  38   8   0   1   0   5   0  17   1   0   0  .211  .318  .263 
Luis Sanchez       R   9   2   0   0   0   0   0   0   0   0   1  .222  .200  .222 
Ken Sanders        R   4   1   0   0   1   0   0   1   0   1   0  .250  .250 1.000 
Randy Scarbery     R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dan Schatzeder     L   2   0   0   0   0   1   0   2   0   1   0  .000  .333  .000 
Dave J. Schmidt    R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ron Schueler       R   8   3   0   0   0   2   0   2   0   0   0  .375  .500  .375 
Tom Seaver         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dave Sells         R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Gary Serum         R   9   2   0   0   1   0   0   0   0   0   0  .222  .222  .556 
Sonny Siebert      R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Bill Singer        R  18   5   0   0   0   2   0   1   0   0   0  .278  .350  .278 
Jim Slaton         R  58  13   2   1   0   5   1   7   0   1   0  .224  .286  .293 
Mike Smithson      R   7   1   0   0   0   3   0   0   0   0   0  .143  .400  .143 
Nate Snell         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Lary Sorensen      R  41   9   0   0   1   2   0   5   0   0   0  .220  .256  .293 
Elias Sosa         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dan Spillner       R  18   5   1   0   1   2   0   1   0   0   0  .278  .350  .500 
Paul Splittorff    L  14   7   2   0   0   2   0   1   0   0   1  .500  .529  .643 
Don Stanhouse      R   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Bob Stanley        R  11   4   1   0   0   2   1   1   0   0   0  .364  .462  .455 
Mike Stanton       R  10   4   1   0   0   1   0   2   0   0   0  .400  .455  .500 
Randy Stein        R   5   0   0   0   0   2   0   0   0   0   0  .000  .286  .000 
Sammy Stewart      R  14   4   1   1   0   2   0   4   0   0   0  .286  .375  .500 
Dave Stieb         R  20   7   2   0   0   3   0   1   0   0   0  .350  .435  .450 
Bob Stoddard       R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Tim Stoddard       R  10   2   1   0   0   1   0   2   0   0   0  .200  .273  .300 
Steve Stone        R  29   6   1   2   0   1   0   7   0   0   0  .207  .233  .379 
Bill Stoneman      R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Mel Stottlemyre    R  16   6   1   0   1   0   0   0   0   0   0  .375  .375  .625 
Mike Strahler      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Rick Sutcliffe     R  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Don Sutton         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bill Swaggerty     R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Frank Tanana       L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Tom Tellmann       R   5   2   0   0   0   1   0   2   0   0   0  .400  .500  .400 
P. Thormodsgard    R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Luis Tiant         R  23  10   1   2   1   4   0   0   0   0   0  .435  .519  .783 
Dick Tidrow        R  23   8   2   0   1   1   1   2   0   0   0  .348  .375  .565 
Tom Timmermann     R   9   2   0   1   0   2   0   3   0   1   0  .222  .364  .444 
Dave Tobik         R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Jackson Todd       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Jim Todd           R  10   3   0   0   0   2   0   1   0   0   0  .300  .417  .300 
Pablo Torrealba    L   6   2   0   0   0   1   0   0   0   1   0  .333  .429  .333 
Mike Torrez        R  13   5   0   0   0   1   0   0   0   1   1  .385  .400  .385 
Bill Travers       L  13   3   0   0   0   0   0   2   0   0   0  .231  .231  .231 
Steve Trout        L  18   4   0   0   0   1   0   2   1   0   0  .222  .300  .222 
Jerry Ujdur        R   8   2   0   0   1   0   0   1   0   0   0  .250  .250  .625 
Jim Umbarger       L   8   3   1   0   0   1   0   1   0   0   0  .375  .444  .500 
Pat Underwood      L   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Tom Underwood      L  15   7   1   0   0   4   0   1   1   0   0  .467  .600  .533 
Ed Vande Berg      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Carlos Velazquez   R   4   3   0   0   1   1   0   0   0   0   0  .750  .800 1.500 
John Verhoeven     R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Pete Vuckovich     R  17   1   0   0   0   4   0   2   1   1   0  .059  .273  .059 
Tom Waddell        R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Rick Waits         L  17   4   1   0   0   1   0   2   1   1   0  .235  .316  .294 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Luke Walker        L   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Tom Walker         R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Eddie Watt         R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Milt Wilcox        R  50  21   1   1   0   3   0   7   0   1   0  .420  .453  .480 
